calle_nombre,calle_altura,comuna,total_arboles,maduros,medianos,jovenes,lat,long
Acha Mariano Gral.,3500.0,12,16,3,6,7,-34.560078,-58.487752
Acha Mariano Gral.,3600.0,12,21,9,12,0,-34.55892,-58.488502
Acha Mariano Gral.,3700.0,12,17,4,6,7,-34.557982,-58.489148
Acha Mariano Gral.,3800.0,12,18,2,11,5,-34.557246,-58.489676
Acha Mariano Gral.,3900.0,12,22,8,12,2,-34.556435,-58.490232
Acha Mariano Gral.,4000.0,12,18,13,3,2,-34.555706,-58.490744
Acha Mariano Gral.,4100.0,12,11,4,3,4,-34.554765,-58.491389
Acha Mariano Gral.,4200,12,1,0,0,1,-34.554201,-58.491739
Acha Mariano Gral.,4200.0,12,11,8,2,1,-34.554214,-58.491785
Acha Mariano Gral.,4300,12,9,3,4,2,-34.553341,-58.492338
Acha Mariano Gral.,4300.0,12,13,4,6,3,-34.553338,-58.49238
Acha Mariano Gral.,4400.0,12,15,7,8,0,-34.552649,-58.492853
Acha Mariano Gral.,4500,12,10,2,7,1,-34.551879,-58.493468
Acha Mariano Gral.,4500.0,12,9,1,8,0,-34.551796,-58.493421
Acha Mariano Gral.,4600.0,12,17,3,9,5,-34.551093,-58.493971
Acha Mariano Gral.,4700.0,12,7,1,6,0,-34.550318,-58.494562
Acha Mariano Gral.,4800.0,12,20,7,10,3,-34.549497,-58.495088
Acha Mariano Gral.,4900.0,12,14,5,8,1,-34.548795,-58.495585
Acha Mariano Gral.,900,15,20,4,12,4,-34.584156,-58.472057
Achala,3500,4,22,4,15,3,-34.642616,-58.413978
Achala,3600,4,14,3,10,1,-34.642365,-58.415159
Achala,3680,4,1,1,0,0,-34.642253,-58.415397
Achaval,200,6,1,0,1,0,,
Achaval,200.0,6,26,7,11,8,-34.627175,-58.449698
Achaval,300.0,6,15,3,8,4,-34.628425,-58.449051
Achaval,450.0,6,1,1,0,0,-34.629199,-58.448623
Achaval,500,9,1,0,0,1,-34.63136,-58.447599
Achaval,500.0,6,20,6,11,3,-34.629589,-58.448503
Achaval,500.0,7,27,5,9,13,-34.631037,-58.447808
Achaval,600.0,7,17,5,10,2,-34.632124,-58.447306
Achaval,700.0,6,1,0,1,0,-34.633383,-58.446664
Achaval,700.0,7,14,3,7,4,-34.633086,-58.446872
Achaval,800.0,7,6,0,3,3,-34.633824,-58.44652
Achaval,900.0,7,6,0,6,0,-34.634201,-58.446306
Achaval Rodriguez Tristï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,1100,1,1,1,0,0,,
Achega,2900,12,3,0,0,3,-34.575369,-58.499012
Achega,2900.0,12,1,0,1,0,-34.575415,-58.499061
Achega,2950.0,12,3,2,1,0,-34.575035,-58.49928
